01:55:28.807812 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31435 rtt_min_us>31263 rtt_max_us>31662 cwnd>36 cwnd_min>34 cwnd_max>36 rate_avg_kbps>12030.666 rate_min_kbps>11763.968 rate_max_kbps>12348.352 alpha_avg>0.004399 alpha_min>0.004011 alpha_max>0.004867 inflight>17 sent>53 lost>0 total_lost>0
01:55:28.909524 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31466 rtt_min_us>31220 rtt_max_us>31852 cwnd>38 cwnd_min>36 cwnd_max>38 rate_avg_kbps>12617.791 rate_min_kbps>12347.512 rate_max_kbps>12885.424 alpha_avg>0.003600 alpha_min>0.003306 alpha_max>0.004011 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.011225 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31497 rtt_min_us>31306 rtt_max_us>31832 cwnd>40 cwnd_min>38 cwnd_max>40 rate_avg_kbps>13202.352 rate_min_kbps>12880.088 rate_max_kbps>13527.000 alpha_avg>0.002947 alpha_min>0.002726 alpha_max>0.003306 inflight>19 sent>53 lost>0 total_lost>0
01:55:29.112935 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31624 rtt_min_us>31289 rtt_max_us>32457 cwnd>41 cwnd_min>40 cwnd_max>41 rate_avg_kbps>13744.544 rate_min_kbps>13118.288 rate_max_kbps>14103.536 alpha_avg>0.002417 alpha_min>0.002247 alpha_max>0.002726 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.214654 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31671 rtt_min_us>31410 rtt_max_us>31957 cwnd>43 cwnd_min>41 cwnd_max>43 rate_avg_kbps>14291.152 rate_min_kbps>13967.736 rate_max_kbps>14554.224 alpha_avg>0.003184 alpha_min>0.001975 alpha_max>0.005527 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.316352 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31677 rtt_min_us>31448 rtt_max_us>31944 cwnd>44 cwnd_min>43 cwnd_max>44 rate_avg_kbps>14642.313 rate_min_kbps>14417.128 rate_max_kbps>14889.704 alpha_avg>0.012443 alpha_min>0.005182 alpha_max>0.021300 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.418061 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31644 rtt_min_us>31374 rtt_max_us>31995 cwnd>44 cwnd_min>43 cwnd_max>44 rate_avg_kbps>14859.716 rate_min_kbps>14655.760 rate_max_kbps>15002.904 alpha_avg>0.021535 alpha_min>0.019970 alpha_max>0.024674 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.519792 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31581 rtt_min_us>31289 rtt_max_us>31903 cwnd>45 cwnd_min>44 cwnd_max>45 rate_avg_kbps>15176.460 rate_min_kbps>14808.096 rate_max_kbps>15525.368 alpha_avg>0.022800 alpha_min>0.020331 alpha_max>0.024674 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.621485 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31668 rtt_min_us>31315 rtt_max_us>31974 cwnd>47 cwnd_min>45 cwnd_max>47 rate_avg_kbps>15566.905 rate_min_kbps>15326.952 rate_max_kbps>15751.856 alpha_avg>0.018720 alpha_min>0.016753 alpha_max>0.020331 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.723194 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31898 rtt_min_us>31411 rtt_max_us>32844 cwnd>48 cwnd_min>47 cwnd_max>48 rate_avg_kbps>15975.941 rate_min_kbps>15612.784 rate_max_kbps>16410.360 alpha_avg>0.015409 alpha_min>0.013805 alpha_max>0.016753 inflight>17 sent>53 lost>0 total_lost>0
01:55:29.824837 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>32014 rtt_min_us>31383 rtt_max_us>33302 cwnd>50 cwnd_min>48 cwnd_max>50 rate_avg_kbps>16496.448 rate_min_kbps>16111.232 rate_max_kbps>16964.208 alpha_avg>0.012639 alpha_min>0.011376 alpha_max>0.013805 inflight>16 sent>52 lost>0 total_lost>0
01:55:29.926584 PRAGUEINFO flow>4 window>0.102 samples>56 state>cong_avoid rtt_avg_us>31811 rtt_min_us>31480 rtt_max_us>32903 cwnd>52 cwnd_min>50 cwnd_max>52 rate_avg_kbps>17191.338 rate_min_kbps>16337.296 rate_max_kbps>17612.024 alpha_avg>0.010349 alpha_min>0.009375 alpha_max>0.011376 inflight>19 sent>54 lost>0 total_lost>0
01:55:30.028301 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>32040 rtt_min_us>31529 rtt_max_us>32989 cwnd>53 cwnd_min>52 cwnd_max>53 rate_avg_kbps>17652.005 rate_min_kbps>16938.968 rate_max_kbps>18160.376 alpha_avg>0.008483 alpha_min>0.007725 alpha_max>0.009375 inflight>17 sent>53 lost>0 total_lost>0
01:55:30.130009 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31482 rtt_min_us>31288 rtt_max_us>31799 cwnd>55 cwnd_min>53 cwnd_max>55 rate_avg_kbps>18557.899 rate_min_kbps>18071.816 rate_max_kbps>18876.744 alpha_avg>0.006941 alpha_min>0.006366 alpha_max>0.007725 inflight>17 sent>53 lost>0 total_lost>0
01:55:30.231714 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31907 rtt_min_us>31386 rtt_max_us>32599 cwnd>57 cwnd_min>55 cwnd_max>57 rate_avg_kbps>18896.402 rate_min_kbps>18328.504 rate_max_kbps>19290.504 alpha_avg>0.005685 alpha_min>0.005246 alpha_max>0.006366 inflight>17 sent>53 lost>0 total_lost>0
