l4s_offered_mbps,l4s_goodput_mean,l4s_goodput_std,l4s_tx_rate_mean,l4s_mean_rtt_mean,l4s_max_rtt_mean,l4s_retrans_mean,classic_goodput_mean,classic_goodput_std,classic_mean_rtt_mean,classic_retrans_mean,dpi2_mark_mean,dpi2_step_mark_mean,dpi2_drop_mean,dpi2_maxq_mean,dpi2_leak_to_c_mean,pie_cls_mark_mean,pie_cls_drop_mean,pie_cls_maxq_mean,n_trials
100,99.82344759261085,0.0007669643474279125,100.19983067814486,32.71839,39.53933,48.0,662.6466238751882,172.74663305137418,35.241640000000004,1255.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
180,176.07903666122994,1.6930774640618291,177.21026274347705,32.80995,41.52636,66.8,635.7753258760889,143.4723932193729,37.02854,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
200,179.48297626439089,1.559770128968931,180.59779094970574,32.697494999999996,42.18649,73.2,630.8937464485135,138.91476441629962,36.7373,1347.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
240,179.22566762655646,2.120403976662485,180.16703746245318,32.753910000000005,39.739255,93.6,633.7823784774855,141.45513995058096,37.284479999999995,1048.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
300,178.52453638676943,2.8367139861365764,179.48677689844166,32.593219999999995,39.451385,59.6,631.437750086295,139.01554271216312,36.16696,1923.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
