trial,base_rtt_ms,l4s_per_stream_mbps,l4s_offered_mbps,classic_offered_mbps,l4s_cap_mbps,l4s_goodput_mbps,l4s_tx_rate_mbps,l4s_total_retrans,l4s_mean_rtt_ms,l4s_max_rtt_ms,l4s_cc,classic_goodput_mbps,classic_tx_rate_mbps,classic_total_retrans,classic_mean_rtt_ms,classic_max_rtt_ms,classic_cc,dpi2_l4s_mark_pct,dpi2_l4s_step_mark_pct,dpi2_l4s_drop_pct,dpi2_l4s_maxq_pkts,dpi2_l4s_leak_to_c_pkts,pie_cls_mark_pct,pie_cls_drop_pct,pie_cls_maxq_pkts
5,30,9,180,1000,200,178.0875809872806,179.193668889467,53,32.659949999999995,39.008050000000004,prague,768.848782559305,765.2037368730101,1197,36.6468,50.3944,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,10,200,500,200,177.40752127414427,178.7269687217032,0,32.290150000000004,34.160599999999995,prague,499.71454177483,499.937903625767,91,33.132999999999996,37.800200000000004,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,10,200,500,200,181.06870308454862,181.6353801829199,24,32.63779999999999,43.6897,prague,499.71469160485077,499.9146153909299,704,33.1392,34.7076,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,10,200,500,200,180.72999207900594,181.6118083677859,0,32.70909999999999,44.969150000000006,prague,499.6054346479455,499.91469097806817,0,33.236599999999996,35.403200000000005,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,10,200,500,200,179.49835523078482,180.19293961186784,0,32.4207,39.1972,prague,499.7149329978509,499.91482796604305,750,33.18920000000001,38.973200000000006,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,10,200,500,200,176.13999665936743,177.83717560730088,0,32.74005,41.533,prague,499.65076396548415,499.89130701579245,0,33.017,34.550799999999995,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,10,200,1000,200,179.36188333323508,180.9875559597264,63,33.728899999999996,51.516949999999994,prague,772.9388140726179,769.9113219517792,1648,44.278600000000004,65.80879999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,10,200,1000,200,180.56377679949134,181.8679698030648,134,32.2902,36.52125,prague,769.2421421955203,769.6552224685056,1977,40.9734,49.5982,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,10,200,1000,200,180.26358640932207,181.68585580295363,79,32.91955000000001,43.376349999999995,prague,768.677167535899,765.856198265002,2746,39.7932,50.0728,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,10,200,1000,200,179.57663793225674,180.28521578721816,323,32.64195,43.94855,prague,727.5557980606445,717.3186545411942,3921,33.779399999999995,55.0966,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,10,200,1000,200,180.2193098417526,181.14703965251678,109,32.59655,42.952149999999996,prague,772.1231776294923,769.4217937279748,1634,42.8334,49.5664,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,12,240,500,200,180.8041524265964,181.499863608111,24,32.286550000000005,34.828500000000005,prague,499.74725200994243,499.9145080571654,89,33.08,40.4882,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,12,240,500,200,176.1140078924981,176.95451790622454,14,33.026799999999994,43.579350000000005,prague,499.70292189802217,499.89143872702664,0,33.04600000000001,34.87779999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,12,240,500,200,175.74031021369163,176.79344219355733,0,32.55805,38.9514,prague,499.70131546760206,499.96112202230984,0,33.041,35.1904,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,12,240,500,200,180.23460245990685,181.56658115263323,0,32.4633,37.83565,prague,499.7144335643154,499.8677165760658,217,32.9944,39.2068,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,12,240,500,200,176.86154684276698,177.69777690723407,0,32.387600000000006,35.21985,prague,499.715207686721,499.9378770767913,360,33.3198,34.567800000000005,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,12,240,1000,200,180.5351679438556,181.70632470601223,227,32.6217,38.8866,prague,771.1383055616088,768.9794071666864,2665,40.24379999999999,51.075599999999994,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,12,240,1000,200,180.42213987197613,181.4930389311541,264,32.681799999999996,37.6529,prague,751.2197321357262,742.695639913578,2794,36.7584,48.32520000000001,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,12,240,1000,200,181.19001277245732,181.9388849903805,262,33.80375,42.04559999999999,prague,771.7139636568277,770.6335715153463,1723,42.104,55.17479999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,12,240,1000,200,179.57745621400207,180.96454235731795,31,32.80815,40.8854,prague,773.4572597072171,771.8678349904337,472,44.9264,52.084199999999996,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,12,240,1000,200,180.77727962781356,181.05540187190687,114,32.9014,47.5073,prague,771.7133930868725,769.4684475657938,2166,43.330999999999996,54.028,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,15,300,500,200,174.7245376292795,175.698373433551,0,32.4959,36.18900000000001,prague,499.7189645568878,499.96103440266756,0,33.257999999999996,38.5114,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,15,300,500,200,178.35190173620163,179.40292800448853,0,32.49295,40.25065,prague,499.71797124003393,499.961329701535,346,32.9262,36.76219999999999,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,15,300,500,200,178.11472432280294,179.23620329363192,0,32.472449999999995,41.46600000000001,prague,499.73467416508794,499.9145636087011,0,33.12,34.959799999999994,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,15,300,500,200,180.03749651346064,180.61243211819243,25,32.11874999999999,34.19225,prague,499.7248802570459,499.8913340098134,1192,32.83220000000001,35.463,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,15,300,500,200,172.38043886550483,172.8054477551097,0,32.7176,41.198499999999996,prague,499.7188563482399,499.9610716250162,220,32.86,36.7144,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
1,30,15,300,1000,200,181.115220572688,181.6599828808776,105,32.41935,36.87995,prague,745.7225759466639,746.6792178861226,4039,37.5004,48.46300000000001,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
2,30,15,300,1000,200,179.417555466834,181.12337131058808,62,33.032650000000004,44.65795,prague,771.2085073347589,768.0930310641472,2058,42.1566,59.221199999999996,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
3,30,15,300,1000,200,180.3069163584616,180.869955420047,205,32.765299999999996,42.69005,prague,761.6671891294867,755.8714287653347,4291,38.7314,48.751999999999995,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
4,30,15,300,1000,200,180.53596612504091,182.17229798194487,98,32.9097,41.033550000000005,prague,766.2957631671358,766.8586596741956,4161,38.473,50.440000000000005,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
5,30,15,300,1000,200,180.2606062774202,181.2867767859856,101,32.507549999999995,35.95595,prague,770.8681187176079,767.7325154587744,2930,39.8118,52.7722,cubic,0.0,0.0,0.0,0,0,0.0,0.0,0
