19:47:42.720987 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31162 rtt_min_us>31095 rtt_max_us>31215 cwnd>36 cwnd_min>35 cwnd_max>36 rate_avg_kbps>12228.644 rate_min_kbps>11916.368 rate_max_kbps>12536.352 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:42.822677 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31119 rtt_min_us>31059 rtt_max_us>31210 cwnd>38 cwnd_min>36 cwnd_max>38 rate_avg_kbps>12857.594 rate_min_kbps>12536.352 rate_max_kbps>13148.056 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:42.924386 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31241 rtt_min_us>31119 rtt_max_us>31465 cwnd>40 cwnd_min>38 cwnd_max>40 rate_avg_kbps>13415.694 rate_min_kbps>13148.056 rate_max_kbps>13688.152 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.026094 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31247 rtt_min_us>31140 rtt_max_us>31472 cwnd>42 cwnd_min>40 cwnd_max>42 rate_avg_kbps>14020.921 rate_min_kbps>13673.016 rate_max_kbps>14327.312 alpha_avg>0.000000 alpha_min>0.000000 alpha_max>0.000000 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.127806 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31343 rtt_min_us>31223 rtt_max_us>31532 cwnd>43 cwnd_min>42 cwnd_max>43 rate_avg_kbps>14529.834 rate_min_kbps>14319.984 rate_max_kbps>14716.568 alpha_avg>0.002561 alpha_min>0.000000 alpha_max>0.007123 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.229530 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31420 rtt_min_us>31284 rtt_max_us>31885 cwnd>44 cwnd_min>43 cwnd_max>44 rate_avg_kbps>14895.957 rate_min_kbps>14712.320 rate_max_kbps>15137.960 alpha_avg>0.009447 alpha_min>0.007123 alpha_max>0.010354 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.331239 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31316 rtt_min_us>31207 rtt_max_us>31497 cwnd>45 cwnd_min>44 cwnd_max>45 rate_avg_kbps>15392.934 rate_min_kbps>15109.520 rate_max_kbps>15625.496 alpha_avg>0.008138 alpha_min>0.007500 alpha_max>0.009101 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.432919 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31270 rtt_min_us>31195 rtt_max_us>31364 cwnd>47 cwnd_min>45 cwnd_max>47 rate_avg_kbps>15930.744 rate_min_kbps>15625.496 rate_max_kbps>16214.400 alpha_avg>0.006658 alpha_min>0.006181 alpha_max>0.007500 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.534641 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31282 rtt_min_us>31154 rtt_max_us>31698 cwnd>49 cwnd_min>47 cwnd_max>49 rate_avg_kbps>16530.707 rate_min_kbps>16214.400 rate_max_kbps>16746.120 alpha_avg>0.005436 alpha_min>0.004776 alpha_max>0.006181 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.636342 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31315 rtt_min_us>31211 rtt_max_us>31453 cwnd>51 cwnd_min>49 cwnd_max>51 rate_avg_kbps>17117.969 rate_min_kbps>16746.120 rate_max_kbps>17415.456 alpha_avg>0.004444 alpha_min>0.003936 alpha_max>0.004776 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.738058 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31345 rtt_min_us>31177 rtt_max_us>31537 cwnd>52 cwnd_min>51 cwnd_max>52 rate_avg_kbps>17706.059 rate_min_kbps>17389.448 rate_max_kbps>18017.832 alpha_avg>0.003638 alpha_min>0.003245 alpha_max>0.003936 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.839797 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31284 rtt_min_us>31189 rtt_max_us>31405 cwnd>54 cwnd_min>52 cwnd_max>54 rate_avg_kbps>18345.507 rate_min_kbps>18017.832 rate_max_kbps>18637.968 alpha_avg>0.002979 alpha_min>0.002675 alpha_max>0.003245 inflight>17 sent>53 lost>0 total_lost>0
19:47:43.941462 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31341 rtt_min_us>31223 rtt_max_us>31532 cwnd>56 cwnd_min>54 cwnd_max>56 rate_avg_kbps>18916.768 rate_min_kbps>18637.968 rate_max_kbps>19140.504 alpha_avg>0.002438 alpha_min>0.002205 alpha_max>0.002675 inflight>17 sent>53 lost>0 total_lost>0
19:47:44.043180 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31394 rtt_min_us>31285 rtt_max_us>31671 cwnd>58 cwnd_min>56 cwnd_max>58 rate_avg_kbps>19487.028 rate_min_kbps>19140.504 rate_max_kbps>19726.952 alpha_avg>0.001996 alpha_min>0.001818 alpha_max>0.002205 inflight>17 sent>53 lost>0 total_lost>0
19:47:44.144875 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31459 rtt_min_us>31330 rtt_max_us>31631 cwnd>59 cwnd_min>58 cwnd_max>59 rate_avg_kbps>20046.639 rate_min_kbps>19711.976 rate_max_kbps>20385.128 alpha_avg>0.001634 alpha_min>0.001499 alpha_max>0.001818 inflight>17 sent>53 lost>0 total_lost>0
19:47:44.245668 PRAGUEINFO flow>4 window>0.101 samples>55 state>cong_avoid rtt_avg_us>31366 rtt_min_us>31283 rtt_max_us>31473 cwnd>61 cwnd_min>59 cwnd_max>61 rate_avg_kbps>20708.183 rate_min_kbps>20385.128 rate_max_kbps>21039.640 alpha_avg>0.001338 alpha_min>0.001236 alpha_max>0.001499 inflight>16 sent>52 lost>0 total_lost>0
19:47:44.345677 PRAGUEINFO flow>4 window>0.100 samples>54 state>cong_avoid rtt_avg_us>31488 rtt_min_us>31319 rtt_max_us>31650 cwnd>63 cwnd_min>61 cwnd_max>63 rate_avg_kbps>21221.374 rate_min_kbps>21022.856 rate_max_kbps>21529.968 alpha_avg>0.001097 alpha_min>0.001019 alpha_max>0.001236 inflight>16 sent>52 lost>0 total_lost>0
19:47:44.446152 PRAGUEINFO flow>4 window>0.100 samples>55 state>cong_avoid rtt_avg_us>31490 rtt_min_us>31405 rtt_max_us>31596 cwnd>65 cwnd_min>63 cwnd_max>65 rate_avg_kbps>21812.903 rate_min_kbps>21529.968 rate_max_kbps>22120.024 alpha_avg>0.000899 alpha_min>0.000790 alpha_max>0.001019 inflight>17 sent>53 lost>0 total_lost>0
