18:26:16.170809 START Mgen Version 5.1.1
18:26:27.844841 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31075 rtt_min_us>30962 rtt_max_us>31524 cwnd>36 cwnd_min>34 cwnd_max>36 rate_avg_kbps>12063.616 rate_min_kbps>11871.056 rate_max_kbps>12240.408 alpha_avg>0.011180 alpha_min>0.009110 alpha_max>0.014414 inflight>17 sent>53 lost>0 total_lost>0
18:26:27.946546 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31111 rtt_min_us>31020 rtt_max_us>31236 cwnd>37 cwnd_min>36 cwnd_max>37 rate_avg_kbps>12521.163 rate_min_kbps>12240.408 rate_max_kbps>12832.496 alpha_avg>0.015924 alpha_min>0.014414 alpha_max>0.017189 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.048248 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31062 rtt_min_us>31007 rtt_max_us>31138 cwnd>38 cwnd_min>37 cwnd_max>38 rate_avg_kbps>12977.158 rate_min_kbps>12774.752 rate_max_kbps>13242.280 alpha_avg>0.018222 alpha_min>0.015108 alpha_max>0.020400 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.149959 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31074 rtt_min_us>31032 rtt_max_us>31134 cwnd>40 cwnd_min>38 cwnd_max>40 rate_avg_kbps>13477.972 rate_min_kbps>13226.112 rate_max_kbps>13726.808 alpha_avg>0.017407 alpha_min>0.015760 alpha_max>0.019126 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.251667 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31096 rtt_min_us>31043 rtt_max_us>31163 cwnd>41 cwnd_min>40 cwnd_max>41 rate_avg_kbps>14013.942 rate_min_kbps>13713.320 rate_max_kbps>14311.024 alpha_avg>0.014244 alpha_min>0.012988 alpha_max>0.015760 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.353374 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31114 rtt_min_us>31074 rtt_max_us>31151 cwnd>42 cwnd_min>41 cwnd_max>42 rate_avg_kbps>14372.231 rate_min_kbps>14230.544 rate_max_kbps>14535.320 alpha_avg>0.016759 alpha_min>0.012988 alpha_max>0.018538 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.455081 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31189 rtt_min_us>31075 rtt_max_us>31607 cwnd>42 cwnd_min>42 cwnd_max>43 rate_avg_kbps>14562.496 rate_min_kbps>14428.608 rate_max_kbps>14708.648 alpha_avg>0.019762 alpha_min>0.017380 alpha_max>0.021229 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.556798 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31087 rtt_min_us>31050 rtt_max_us>31129 cwnd>44 cwnd_min>42 cwnd_max>44 rate_avg_kbps>14827.406 rate_min_kbps>14577.312 rate_max_kbps>15061.368 alpha_avg>0.025401 alpha_min>0.021229 alpha_max>0.027254 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.658529 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31083 rtt_min_us>31031 rtt_max_us>31132 cwnd>45 cwnd_min>44 cwnd_max>45 rate_avg_kbps>15286.282 rate_min_kbps>15060.776 rate_max_kbps>15525.992 alpha_avg>0.020969 alpha_min>0.018507 alpha_max>0.022458 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.760226 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31163 rtt_min_us>31032 rtt_max_us>31500 cwnd>47 cwnd_min>45 cwnd_max>47 rate_avg_kbps>15783.914 rate_min_kbps>15525.992 rate_max_kbps>16077.280 alpha_avg>0.017161 alpha_min>0.015250 alpha_max>0.018507 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.861938 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31102 rtt_min_us>31051 rtt_max_us>31194 cwnd>48 cwnd_min>47 cwnd_max>48 rate_avg_kbps>16427.198 rate_min_kbps>16077.280 rate_max_kbps>16751.072 alpha_avg>0.014043 alpha_min>0.012567 alpha_max>0.015250 inflight>17 sent>53 lost>0 total_lost>0
18:26:28.963652 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31054 rtt_min_us>31002 rtt_max_us>31081 cwnd>50 cwnd_min>48 cwnd_max>50 rate_avg_kbps>17067.002 rate_min_kbps>16751.072 rate_max_kbps>17408.320 alpha_avg>0.011492 alpha_min>0.010356 alpha_max>0.012567 inflight>17 sent>53 lost>0 total_lost>0
18:26:29.065339 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31082 rtt_min_us>30997 rtt_max_us>31342 cwnd>52 cwnd_min>50 cwnd_max>52 rate_avg_kbps>17665.703 rate_min_kbps>17408.320 rate_max_kbps>17913.656 alpha_avg>0.009404 alpha_min>0.008534 alpha_max>0.010356 inflight>17 sent>53 lost>0 total_lost>0
18:26:29.167043 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31154 rtt_min_us>31066 rtt_max_us>31447 cwnd>54 cwnd_min>52 cwnd_max>54 rate_avg_kbps>18237.079 rate_min_kbps>17848.808 rate_max_kbps>18597.384 alpha_avg>0.007696 alpha_min>0.007033 alpha_max>0.008534 inflight>17 sent>53 lost>0 total_lost>0
18:26:29.268744 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31080 rtt_min_us>31036 rtt_max_us>31147 cwnd>55 cwnd_min>54 cwnd_max>55 rate_avg_kbps>18893.320 rate_min_kbps>18572.512 rate_max_kbps>19213.592 alpha_avg>0.006297 alpha_min>0.005796 alpha_max>0.007033 inflight>17 sent>53 lost>0 total_lost>0
18:26:29.370452 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31154 rtt_min_us>31050 rtt_max_us>31375 cwnd>57 cwnd_min>55 cwnd_max>57 rate_avg_kbps>19460.022 rate_min_kbps>19213.592 rate_max_kbps>19805.424 alpha_avg>0.005153 alpha_min>0.004778 alpha_max>0.005796 inflight>17 sent>53 lost>0 total_lost>0
18:26:29.471474 PRAGUEINFO flow>4 window>0.101 samples>55 state>cong_avoid rtt_avg_us>31112 rtt_min_us>31067 rtt_max_us>31157 cwnd>59 cwnd_min>57 cwnd_max>59 rate_avg_kbps>20098.682 rate_min_kbps>19801.712 rate_max_kbps>20410.696 alpha_avg>0.004202 alpha_min>0.003692 alpha_max>0.004778 inflight>16 sent>52 lost>0 total_lost>0
18:26:29.571950 PRAGUEINFO flow>4 window>0.100 samples>55 state>cong_avoid rtt_avg_us>31123 rtt_min_us>31075 rtt_max_us>31200 cwnd>61 cwnd_min>59 cwnd_max>61 rate_avg_kbps>20704.241 rate_min_kbps>20410.696 rate_max_kbps>21025.296 alpha_avg>0.003436 alpha_min>0.003044 alpha_max>0.003692 inflight>17 sent>53 lost>0 total_lost>0
