05:21:41.601654 START Mgen Version 5.1.1
05:21:51.602146 ON flow>1 srcPort>40471 dst>fd00:6::2/5201 
05:21:51.634308 CONNECT flow>1 srcPort>40471 dst>fd00:6::2/5201 
05:21:51.802166 TCPINFO flow>1 window>0.168 samples>83 rtt_avg_us>31991 rtt_min_us>31459 rtt_max_us>32135 cwnd>13 cwnd_min>10 cwnd_max>13 throughput_kbps>4012.658 goodput_kbps>3253.681 retrans>0 total_retrans>0 bytes_acked>68249
05:21:51.941436 TCPINFO flow>1 window>0.139 samples>51 rtt_avg_us>31872 rtt_min_us>31368 rtt_max_us>33814 cwnd>17 cwnd_min>13 cwnd_max>17 throughput_kbps>4911.553 goodput_kbps>4681.324 retrans>0 total_retrans>0 bytes_acked>149745
05:21:52.058392 TCPINFO flow>1 window>0.117 samples>63 rtt_avg_us>33257 rtt_min_us>33250 rtt_max_us>33283 cwnd>21 cwnd_min>17 cwnd_max>21 throughput_kbps>6305.551 goodput_kbps>6031.396 retrans>0 total_retrans>0 bytes_acked>237921
05:21:52.192167 TCPINFO flow>1 window>0.134 samples>89 rtt_avg_us>32993 rtt_min_us>32592 rtt_max_us>33250 cwnd>25 cwnd_min>21 cwnd_max>25 throughput_kbps>7430.267 goodput_kbps>7190.581 retrans>0 total_retrans>0 bytes_acked>358161
05:21:52.292171 TCPINFO flow>1 window>0.100 samples>138 rtt_avg_us>32590 rtt_min_us>32349 rtt_max_us>32815 cwnd>28 cwnd_min>25 cwnd_max>28 throughput_kbps>8763.809 goodput_kbps>8122.555 retrans>0 total_retrans>0 bytes_acked>459697
05:21:52.402167 TCPINFO flow>1 window>0.110 samples>78 rtt_avg_us>32419 rtt_min_us>32351 rtt_max_us>32749 cwnd>31 cwnd_min>28 cwnd_max>31 throughput_kbps>9522.383 goodput_kbps>9328.048 retrans>0 total_retrans>0 bytes_acked>587953
05:21:52.524661 TCPINFO flow>1 window>0.122 samples>72 rtt_avg_us>32720 rtt_min_us>32122 rtt_max_us>32863 cwnd>35 cwnd_min>31 cwnd_max>35 throughput_kbps>10557.644 goodput_kbps>10470.390 retrans>0 total_retrans>0 bytes_acked>748273
05:21:52.657467 TCPINFO flow>1 window>0.133 samples>133 rtt_avg_us>32571 rtt_min_us>32364 rtt_max_us>32792 cwnd>38 cwnd_min>35 cwnd_max>38 throughput_kbps>11910.787 goodput_kbps>11427.917 retrans>0 total_retrans>0 bytes_acked>937985
05:21:52.770919 TCPINFO flow>1 window>0.113 samples>133 rtt_avg_us>32655 rtt_min_us>32218 rtt_max_us>33017 cwnd>42 cwnd_min>38 cwnd_max>42 throughput_kbps>12717.978 goodput_kbps>12623.770 retrans>0 total_retrans>0 bytes_acked>1117009
05:21:52.870966 TCPINFO flow>1 window>0.100 samples>133 rtt_avg_us>32356 rtt_min_us>32129 rtt_max_us>32721 cwnd>45 cwnd_min>42 cwnd_max>45 throughput_kbps>13887.873 goodput_kbps>13460.554 retrans>0 total_retrans>0 bytes_acked>1285345
05:21:52.970988 TCPINFO flow>1 window>0.100 samples>158 rtt_avg_us>32094 rtt_min_us>31812 rtt_max_us>32356 cwnd>47 cwnd_min>45 cwnd_max>47 throughput_kbps>14746.196 goodput_kbps>14211.913 retrans>0 total_retrans>0 bytes_acked>1463033
