05:58:27.525193 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31372 rtt_min_us>31289 rtt_max_us>31783 cwnd>36 cwnd_min>34 cwnd_max>36 rate_avg_kbps>11924.941 rate_min_kbps>11647.400 rate_max_kbps>12231.080 alpha_avg>0.003887 alpha_min>0.003432 alpha_max>0.004163 inflight>17 sent>53 lost>0 total_lost>0
05:58:27.626897 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31406 rtt_min_us>31271 rtt_max_us>31745 cwnd>37 cwnd_min>36 cwnd_max>37 rate_avg_kbps>12501.229 rate_min_kbps>12119.424 rate_max_kbps>12804.176 alpha_avg>0.003518 alpha_min>0.003018 alpha_max>0.006506 inflight>17 sent>53 lost>0 total_lost>0
05:58:27.728602 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31347 rtt_min_us>31291 rtt_max_us>31386 cwnd>39 cwnd_min>37 cwnd_max>39 rate_avg_kbps>13048.642 rate_min_kbps>12804.176 rate_max_kbps>13314.624 alpha_avg>0.005992 alpha_min>0.005363 alpha_max>0.006506 inflight>17 sent>53 lost>0 total_lost>0
05:58:27.830312 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31339 rtt_min_us>31289 rtt_max_us>31378 cwnd>40 cwnd_min>39 cwnd_max>40 rate_avg_kbps>13562.210 rate_min_kbps>13314.624 rate_max_kbps>13830.640 alpha_avg>0.004904 alpha_min>0.004420 alpha_max>0.005363 inflight>17 sent>53 lost>0 total_lost>0
05:58:27.932011 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31383 rtt_min_us>31336 rtt_max_us>31525 cwnd>42 cwnd_min>40 cwnd_max>42 rate_avg_kbps>14002.758 rate_min_kbps>13787.752 rate_max_kbps>14217.904 alpha_avg>0.009710 alpha_min>0.004420 alpha_max>0.011497 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.033737 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31416 rtt_min_us>31320 rtt_max_us>31618 cwnd>43 cwnd_min>42 cwnd_max>43 rate_avg_kbps>14460.067 rate_min_kbps>14217.904 rate_max_kbps>14715.488 alpha_avg>0.009112 alpha_min>0.008327 alpha_max>0.010105 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.135429 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31339 rtt_min_us>31295 rtt_max_us>31387 cwnd>45 cwnd_min>43 cwnd_max>45 rate_avg_kbps>15018.798 rate_min_kbps>14715.488 rate_max_kbps>15330.296 alpha_avg>0.007447 alpha_min>0.006864 alpha_max>0.008327 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.237135 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31327 rtt_min_us>31269 rtt_max_us>31507 cwnd>46 cwnd_min>45 cwnd_max>46 rate_avg_kbps>15627.979 rate_min_kbps>15288.176 rate_max_kbps>15933.424 alpha_avg>0.006116 alpha_min>0.005657 alpha_max>0.006864 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.338838 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31479 rtt_min_us>31269 rtt_max_us>31914 cwnd>48 cwnd_min>46 cwnd_max>48 rate_avg_kbps>16151.681 rate_min_kbps>15902.048 rate_max_kbps>16436.216 alpha_avg>0.005000 alpha_min>0.004373 alpha_max>0.005657 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.440549 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31359 rtt_min_us>31279 rtt_max_us>31517 cwnd>50 cwnd_min>48 cwnd_max>50 rate_avg_kbps>16815.919 rate_min_kbps>16436.216 rate_max_kbps>17131.664 alpha_avg>0.004083 alpha_min>0.003605 alpha_max>0.004373 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.542215 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31351 rtt_min_us>31302 rtt_max_us>31420 cwnd>52 cwnd_min>50 cwnd_max>52 rate_avg_kbps>17423.327 rate_min_kbps>17131.664 rate_max_kbps>17739.944 alpha_avg>0.003343 alpha_min>0.002972 alpha_max>0.003605 inflight>16 sent>52 lost>0 total_lost>0
05:58:28.643963 PRAGUEINFO flow>4 window>0.102 samples>56 state>cong_avoid rtt_avg_us>31762 rtt_min_us>31321 rtt_max_us>32948 cwnd>53 cwnd_min>52 cwnd_max>53 rate_avg_kbps>17793.769 rate_min_kbps>17137.384 rate_max_kbps>18291.168 alpha_avg>0.002732 alpha_min>0.002450 alpha_max>0.002972 inflight>17 sent>54 lost>0 total_lost>0
